Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
1.09542,0.0305176,-0.231934,9.78699,-0.00305176,0.00305176,0,0.000305176,-0.26001,0,0.701904,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.09974,0.0305176,-0.228882,9.78699,-0.00305176,0.00305176,0,0.000305176,-0.26001,0,0.701904,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.10259,0.0305176,-0.228882,9.78699,-0.00305176,0,0.00305176,0.000305176,0,0.259094,0.701904,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.10568,0.0335693,-0.228882,9.78699,-0.00305176,0,0.00305176,0.000305176,0,0.259094,0.701904,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.10857,0.0335693,-0.228882,9.78699,-0.00305176,0,0,0.000305176,0,0.259094,0.701904,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.11142,0.0335693,-0.228882,9.78699,0,-0.00305176,0,0.000305176,0,0.259094,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.11434,0.0335693,-0.228882,9.78699,0,-0.00305176,-0.00305176,0.000305176,0,0.259094,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.11727,0.0335693,-0.228882,9.78699,0,-0.00305176,-0.00305176,0.000305176,0,0.259094,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12153,0.0366211,-0.228882,9.79004,-0.00305176,-0.00305176,0,0.000305176,0,0.259094,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12438,0.0366211,-0.228882,9.79004,0,-0.00305176,0,0.000305176,-0.130005,0.129089,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12746,0.0366211,-0.228882,9.79004,-0.00305176,0,0,0.000305176,-0.130005,0.129089,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.13029,0.0366211,-0.22583,9.79004,0,0,0,0.000305176,-0.130005,0.129089,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.13599,0.0396729,-0.22583,9.78699,-0.00305176,0,-0.00305176,0.000305176,-0.130005,0.129089,0.0152588,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.13884,0.0396729,-0.22583,9.78699,-0.00305176,0,-0.00305176,0.000305176,-0.130005,0.129089,0.0152588,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.14169,0.0396729,-0.22583,9.78699,-0.00305176,0,0,0.000305176,-0.13092,-0.260925,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.1462,0.0396729,-0.22583,9.78699,-0.00305176,-0.00305176,0,0.000305176,-0.13092,-0.260925,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.14911,0.0396729,-0.22583,9.78699,-0.00305176,0,0,0.000305176,-0.13092,-0.260925,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.0244141,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
