Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
1.10144,0.0946045,-0.15564,9.79309,-0.00305176,0,-0.00305176,0.000305176,-0.130005,0,0.115967,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.10451,0.0946045,-0.15564,9.79309,-0.00305176,-0.00305176,-0.00305176,0.000305176,-0.130005,0,0.115967,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.10735,0.0946045,-0.158691,9.79309,-0.00305176,0,-0.00305176,0.000305176,-0.130005,0,0.115967,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.1118,0.0915527,-0.158691,9.79309,-0.00305176,-0.00305176,0,0.000305176,-0.130005,0,0.115967,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.11615,0.0915527,-0.158691,9.79309,-0.00305176,0,0,0.000305176,-0.130005,0,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12186,0.0915527,-0.158691,9.79309,-0.00305176,0,0,0.000305176,-0.26001,0,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12492,0.0915527,-0.158691,9.79309,0,-0.00305176,0,0.000305176,-0.26001,0,0.0152588,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.12798,0.0915527,-0.158691,9.79309,0,-0.00305176,0,0.000305176,-0.26001,0,0.0152588,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.13233,0.088501,-0.158691,9.79309,0,-0.00305176,0,0.000305176,-0.26001,0,0.0152588,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
1.14088,0.088501,-0.161743,9.79004,0,0,-0.00305176,0.000305176,0.259094,0.389099,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
