Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.095821,0.0457764,-0.164795,9.79919,-0.00305176,0,0,0.000305176,0.129089,-0.130005,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.10125,0.0457764,-0.164795,9.79919,-0.00305176,0,-0.00305176,0.000305176,0.129089,-0.130005,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.105953,0.0427246,-0.167847,9.79919,0,0,0,0.000305176,0.129089,-0.130005,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.108893,0.0427246,-0.167847,9.79919,0,0,0,0.000305176,0,0,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.113252,0.0427246,-0.170898,9.79919,-0.00305176,-0.00305176,0,0.000305176,0,0,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.11788,0.0427246,-0.170898,9.79919,-0.00305176,0,0,0.000305176,0,0,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.122615,0.0396729,-0.170898,9.79919,-0.00305176,0,0,0.000305176,0,0,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.12549,0.0396729,-0.17395,9.79919,-0.00305176,0,0,0.000305176,-0.130005,0,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.128335,0.0396729,-0.17395,9.79919,0,0,0,0.000305176,-0.130005,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.13163,0.0396729,-0.17395,9.79919,0,0,0,0.000305176,-0.130005,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.136191,0.0366211,-0.17395,9.79919,-0.00305176,0,0,0.000305176,-0.130005,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.139386,0.0366211,-0.17395,9.79919,-0.00305176,0,0,0.000305176,-0.130005,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.145152,0.0366211,-0.17395,9.79919,-0.00305176,-0.00305176,0,0.000305176,-0.130005,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.148585,0.0366211,-0.17395,9.79919,-0.00305176,-0.00305176,0,0.000305176,0,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.156758,0.0335693,-0.17395,9.79919,0,0,0.00305176,0.000305176,0,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.164324,0.0335693,-0.17395,9.79614,0,0.00305176,0.00305176,0.000305176,0,0,4.19006,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.169037,0.0335693,-0.17395,9.79614,-0.00305176,0,0,0.000305176,0.259094,0.519104,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.173928,0.0305176,-0.17395,9.79614,-0.00305176,0,0,0.000305176,0.259094,0.519104,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.176847,0.0305176,-0.17395,9.79919,-0.00305176,0,0,0.000305176,0.259094,0.519104,4.18396,0.00457764,0.00457764,0.00457764,0.00457764,-0.0183105,-0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
